Athlete,Date,Location,Coast
Athlete 328,11/29/2019,USA,East
Athlete 403,11/30/2019,USA,East
Athlete 13,11/30/2019,USA,East
Athlete 393,11/30/2019,USA,East
Athlete 259,11/30/2019,USA,East
Athlete 454,11/30/2019,USA,East
Athlete 197,11/30/2019,USA,East
Athlete 387,11/30/2019,USA,East
Athlete 366,11/30/2019,USA,East
Athlete 18,11/30/2019,USA,East
Athlete 58,11/30/2019,USA,East
Athlete 530,11/30/2019,USA,East
Athlete 459,11/30/2019,USA,East
Athlete 43,11/29/2019,USA,East
Athlete 43,11/30/2019,USA,East
Athlete 506,11/30/2019,USA,East
Athlete 465,11/30/2019,USA,East
Athlete 11,11/30/2019,USA,East
Athlete 437,11/30/2019,USA,East
Athlete 403,12/1/2019,USA,East
Athlete 393,12/1/2019,USA,East
Athlete 480,11/30/2019,USA,East
Athlete 366,12/1/2019,USA,East
Athlete 530,12/1/2019,USA,East
Athlete 387,12/1/2019,USA,East
Athlete 418,12/1/2019,USA,East
Athlete 197,12/1/2019,USA,East
Athlete 437,12/1/2019,USA,East
Athlete 259,12/1/2019,USA,East
Athlete 459,12/1/2019,USA,East
Athlete 333,12/1/2019,USA,East
Athlete 43,12/1/2019,USA,East
Athlete 328,12/2/2019,USA,East
Athlete 546,12/1/2019,USA,East
Athlete 43,12/3/2019,USA,East
Athlete 152,12/5/2019,Canada,West
Athlete 227,12/5/2019,Canada,West
Athlete 366,12/5/2019,Canada,West
Athlete 197,12/6/2019,Canada,West
Athlete 152,12/6/2019,Canada,West
Athlete 465,12/6/2019,Canada,West
Athlete 232,12/6/2019,Canada,West
Athlete 366,12/6/2019,Canada,West
Athlete 530,12/6/2019,Canada,West
Athlete 11,12/6/2019,Canada,West
Athlete 454,12/6/2019,Canada,West
Athlete 227,12/7/2019,Canada,West
Athlete 152,12/7/2019,Canada,West
Athlete 530,12/7/2019,Canada,West
Athlete 197,12/7/2019,Canada,West
Athlete 454,12/7/2019,Canada,West
Athlete 11,12/7/2019,Canada,West
Athlete 232,12/7/2019,Canada,West
Athlete 197,12/8/2019,Canada,West
Athlete 530,12/8/2019,Canada,West
Athlete 152,12/8/2019,Canada,West
Athlete 530,12/9/2019,Canada,West
Athlete 197,12/9/2019,Canada,West
Athlete 27,12/9/2019,Canada,West
Athlete 152,12/9/2019,Canada,West
Athlete 227,12/9/2019,Canada,West
Athlete 197,12/10/2019,Canada,West
Athlete 530,12/10/2019,Canada,West
Athlete 328,12/9/2019,Canada,West
Athlete 366,12/10/2019,Canada,West
Athlete 328,12/10/2019,Canada,West
Athlete 106,12/13/2019,Japan,
Athlete 418,12/14/2019,Japan,
Athlete 480,12/14/2019,Japan,
Athlete 480,12/15/2019,Japan,
Athlete 1,12/13/2019,Japan,
Athlete 328,12/16/2019,Japan,
Athlete 366,12/17/2019,Japan,
Athlete 11,12/17/2019,Japan,
Athlete 465,12/17/2019,Japan,
Athlete 328,12/17/2019,Japan,
Athlete 249,12/18/2019,Japan,
Athlete 393,12/18/2019,Japan,
Athlete 1,12/19/2019,Japan,
Athlete 358,12/19/2019,Japan,
Athlete 26,12/19/2019,Japan,
Athlete 58,12/19/2019,Japan,
Athlete 259,12/18/2019,Japan,
Athlete 403,12/19/2019,Japan,
Athlete 249,12/20/2019,Japan,
Athlete 1,12/20/2019,Japan,
Athlete 26,12/20/2019,Japan,
Athlete 58,12/20/2019,Japan,
Athlete 259,12/19/2019,Japan,
Athlete 358,12/20/2019,Japan,
Athlete 249,12/21/2019,Japan,
Athlete 393,12/20/2019,Japan,
Athlete 1,12/21/2019,Japan,
Athlete 26,12/21/2019,Japan,
Athlete 358,12/21/2019,Japan,
Athlete 58,12/21/2019,Japan,
Athlete 259,12/20/2019,Japan,
Athlete 259,12/21/2019,Japan,
Athlete 58,12/22/2019,Japan,
Athlete 393,12/21/2019,Japan,
Athlete 366,12/25/2019,Japan,
Athlete 43,12/27/2019,Japan,
Athlete 289,12/27/2019,Japan,
Athlete 43,12/28/2019,Japan,
Athlete 232,12/28/2019,Japan,
Athlete 289,12/28/2019,Japan,
Athlete 289,12/29/2019,Japan,
Athlete 328,12/30/2019,Japan,
Athlete 43,12/29/2019,Japan,
Athlete 454,1/2/2020,USA,East
Athlete 459,1/2/2020,USA,East
Athlete 465,1/2/2020,USA,East
Athlete 13,1/2/2020,USA,East
Athlete 18,1/2/2020,USA,East
Athlete 201,1/2/2020,USA,East
Athlete 11,1/2/2020,USA,East
Athlete 232,1/2/2020,USA,East
Athlete 437,1/2/2020,USA,East
Athlete 454,1/3/2020,USA,East
Athlete 11,1/3/2020,USA,East
Athlete 152,1/3/2020,USA,East
Athlete 239,1/3/2020,USA,East
Athlete 220,1/3/2020,USA,East
Athlete 27,1/3/2020,USA,East
Athlete 506,1/3/2020,USA,East
Athlete 25,1/3/2020,USA,East
Athlete 232,1/3/2020,USA,East
Athlete 459,1/3/2020,USA,East
Athlete 240,1/3/2020,USA,East
Athlete 227,1/3/2020,USA,East
Athlete 270,1/3/2020,USA,East
Athlete 201,1/3/2020,USA,East
Athlete 13,1/3/2020,USA,East
Athlete 437,1/3/2020,USA,East
Athlete 465,1/3/2020,USA,East
Athlete 27,1/4/2020,USA,East
Athlete 239,1/4/2020,USA,East
Athlete 454,1/4/2020,USA,East
Athlete 480,1/3/2020,USA,East
Athlete 480,1/4/2020,USA,East
Athlete 220,1/4/2020,USA,East
Athlete 270,1/4/2020,USA,East
Athlete 152,1/4/2020,USA,East
Athlete 240,1/4/2020,USA,East
Athlete 11,1/4/2020,USA,East
Athlete 83,1/4/2020,USA,East
Athlete 506,1/4/2020,USA,East
Athlete 465,1/4/2020,USA,East
Athlete 18,1/4/2020,USA,East
Athlete 437,1/4/2020,USA,East
Athlete 459,1/4/2020,USA,East
Athlete 506,1/5/2020,USA,East
Athlete 289,1/4/2020,USA,East
Athlete 289,1/3/2020,USA,East
Athlete 480,1/5/2020,USA,East
Athlete 220,1/5/2020,USA,East
Athlete 459,1/5/2020,USA,East
Athlete 437,1/5/2020,USA,East
Athlete 18,1/5/2020,USA,East
Athlete 1,1/6/2020,USA,East
Athlete 546,1/5/2020,USA,East
Athlete 366,1/7/2020,USA,East
Athlete 289,1/5/2020,USA,East
Athlete 13,1/5/2020,USA,East
Athlete 366,1/9/2020,France,
Athlete 530,1/9/2020,France,
Athlete 197,1/9/2020,France,
Athlete 323,1/9/2020,France,
Athlete 43,1/9/2020,France,
Athlete 26,1/9/2020,France,
Athlete 1,1/9/2020,France,
Athlete 530,1/10/2020,France,
Athlete 366,1/10/2020,France,
Athlete 197,1/10/2020,France,
Athlete 323,1/10/2020,France,
Athlete 43,1/10/2020,France,
Athlete 13,1/10/2020,France,
Athlete 1,1/10/2020,France,
Athlete 249,1/10/2020,France,
Athlete 358,1/10/2020,France,
Athlete 26,1/11/2020,France,
Athlete 530,1/11/2020,France,
Athlete 197,1/11/2020,France,
Athlete 366,1/11/2020,France,
Athlete 1,1/11/2020,France,
Athlete 323,1/11/2020,France,
Athlete 43,1/11/2020,France,
Athlete 249,1/12/2020,France,
Athlete 530,1/12/2020,France,
Athlete 366,1/12/2020,France,
Athlete 26,1/12/2020,France,
Athlete 197,1/12/2020,France,
Athlete 323,1/12/2020,France,
Athlete 1,1/12/2020,France,
Athlete 358,1/12/2020,France,
Athlete 454,1/13/2020,France,
Athlete 239,1/13/2020,France,
Athlete 465,1/13/2020,France,
Athlete 152,1/13/2020,France,
Athlete 11,1/13/2020,France,
Athlete 459,1/13/2020,France,
Athlete 227,1/13/2020,France,
Athlete 27,1/13/2020,France,
Athlete 239,1/14/2020,France,
Athlete 27,1/14/2020,France,
Athlete 366,1/14/2020,France,
Athlete 462,1/14/2020,France,
Athlete 454,1/14/2020,France,
Athlete 465,1/14/2020,France,
Athlete 25,1/13/2020,France,
Athlete 25,1/14/2020,France,
Athlete 152,1/14/2020,France,
Athlete 11,1/14/2020,France,
Athlete 232,1/14/2020,France,
Athlete 239,1/15/2020,France,
Athlete 152,1/15/2020,France,
Athlete 106,1/15/2020,France,
Athlete 58,1/15/2020,France,
Athlete 393,1/15/2020,France,
Athlete 403,1/15/2020,France,
Athlete 227,1/14/2020,France,
Athlete 227,1/15/2020,France,
Athlete 25,1/15/2020,France,
Athlete 454,1/15/2020,France,
Athlete 387,1/15/2020,France,
Athlete 11,1/16/2020,France,
Athlete 232,1/15/2020,France,
Athlete 465,1/15/2020,France,
Athlete 259,1/15/2020,France,
Athlete 437,1/13/2020,France,
Athlete 459,1/15/2020,France,
Athlete 459,1/14/2020,France,
Athlete 437,1/14/2020,France,
Athlete 437,1/15/2020,France,
Athlete 454,1/16/2020,Switzerland,
Athlete 11,1/16/2020,Switzerland,
Athlete 239,1/16/2020,Switzerland,
Athlete 58,1/16/2020,Switzerland,
Athlete 232,1/16/2020,Switzerland,
Athlete 328,1/16/2020,Switzerland,
Athlete 387,1/16/2020,Switzerland,
Athlete 106,1/16/2020,Switzerland,
Athlete 465,1/16/2020,Switzerland,
Athlete 393,1/16/2020,Switzerland,
Athlete 403,1/16/2020,Switzerland,
Athlete 152,1/17/2020,Switzerland,
Athlete 227,1/16/2020,Switzerland,
Athlete 27,1/15/2020,Switzerland,
Athlete 27,1/16/2020,Switzerland,
Athlete 18,1/16/2020,Switzerland,
Athlete 259,1/16/2020,Switzerland,
Athlete 465,1/17/2020,Switzerland,
Athlete 454,1/17/2020,Switzerland,
Athlete 239,1/17/2020,Switzerland,
Athlete 459,1/16/2020,Switzerland,
Athlete 11,1/17/2020,Switzerland,
Athlete 227,1/17/2020,Switzerland,
Athlete 152,1/18/2020,Switzerland,
Athlete 227,1/18/2020,Switzerland,
Athlete 27,1/17/2020,Switzerland,
Athlete 27,1/18/2020,Switzerland,
Athlete 403,1/18/2020,Switzerland,
Athlete 239,1/18/2020,Switzerland,
Athlete 106,1/18/2020,Switzerland,
Athlete 387,1/18/2020,Switzerland,
Athlete 58,1/18/2020,Switzerland,
Athlete 393,1/18/2020,Switzerland,
Athlete 18,1/18/2020,Switzerland,
Athlete 459,1/18/2020,Switzerland,
Athlete 1,1/20/2020,Switzerland,
Athlete 328,1/20/2020,Switzerland,
Athlete 106,1/22/2020,Switzerland,
Athlete 232,1/25/2020,Switzerland,
Athlete 232,1/26/2020,Switzerland,
Athlete 289,1/24/2020,Switzerland,
Athlete 289,1/25/2020,Switzerland,
Athlete 289,1/27/2020,Switzerland,
Athlete 366,1/28/2020,Switzerland,
Athlete 454,1/31/2020,Norway,
Athlete 25,1/31/2020,Norway,
Athlete 465,1/31/2020,Norway,
Athlete 27,1/31/2020,Norway,
Athlete 454,2/1/2020,Norway,
Athlete 465,2/1/2020,Norway,
Athlete 27,2/2/2020,Norway,
Athlete 454,2/2/2020,Norway,
Athlete 197,2/1/2020,Norway,
Athlete 197,2/2/2020,Norway,
Athlete 465,2/2/2020,Norway,
Athlete 25,2/2/2020,Norway,
Athlete 1,2/3/2020,Norway,
Athlete 366,2/4/2020,Norway,
Athlete 333,2/5/2020,Norway,
Athlete 530,2/8/2020,Austria,
Athlete 18,2/8/2020,Austria,
Athlete 387,2/8/2020,Austria,
Athlete 454,2/8/2020,Austria,
Athlete 197,2/8/2020,Austria,
Athlete 1,2/8/2020,Austria,
Athlete 11,2/8/2020,Austria,
Athlete 26,2/8/2020,Austria,
Athlete 366,2/8/2020,Austria,
Athlete 43,2/8/2020,Austria,
Athlete 530,2/9/2020,Austria,
Athlete 106,2/8/2020,Austria,
Athlete 403,2/9/2020,Austria,
Athlete 239,2/9/2020,Austria,
Athlete 186,2/9/2020,Austria,
Athlete 58,2/9/2020,Austria,
Athlete 227,2/9/2020,Austria,
Athlete 27,2/9/2020,Austria,
Athlete 13,2/9/2020,Austria,
Athlete 325,2/9/2020,Austria,
Athlete 61,2/9/2020,Austria,
Athlete 333,2/9/2020,Austria,
Athlete 387,2/9/2020,Austria,
Athlete 232,2/9/2020,Austria,
Athlete 1,2/9/2020,Austria,
Athlete 454,2/9/2020,Austria,
Athlete 26,2/9/2020,Austria,
Athlete 11,2/9/2020,Austria,
Athlete 465,2/9/2020,Austria,
Athlete 152,2/9/2020,Austria,
Athlete 259,2/10/2020,Austria,
Athlete 13,2/10/2020,Austria,
Athlete 323,2/10/2020,Austria,
Athlete 403,2/10/2020,Austria,
Athlete 530,2/10/2020,Austria,
Athlete 106,2/10/2020,Austria,
Athlete 58,2/10/2020,Austria,
Athlete 239,2/10/2020,Austria,
Athlete 27,2/10/2020,Austria,
Athlete 152,2/10/2020,Austria,
Athlete 186,2/10/2020,Austria,
Athlete 227,2/10/2020,Austria,
Athlete 454,2/10/2020,Austria,
Athlete 465,2/10/2020,Austria,
Athlete 197,2/9/2020,Austria,
Athlete 197,2/10/2020,Austria,
Athlete 387,2/10/2020,Austria,
Athlete 43,2/9/2020,Austria,
Athlete 43,2/10/2020,Austria,
Athlete 232,2/10/2020,Austria,
Athlete 26,2/10/2020,Austria,
Athlete 393,2/10/2020,Austria,
Athlete 18,2/10/2020,Austria,
Athlete 1,2/10/2020,Austria,
Athlete 11,2/10/2020,Austria,
Athlete 366,2/10/2020,Austria,
Athlete 403,2/11/2020,Austria,
Athlete 43,2/11/2020,Austria,
Athlete 26,2/11/2020,Austria,
Athlete 454,2/11/2020,Austria,
Athlete 18,2/11/2020,Austria,
Athlete 530,2/11/2020,Austria,
Athlete 11,2/11/2020,Austria,
Athlete 366,2/11/2020,Austria,
Athlete 387,2/11/2020,Austria,
Athlete 239,2/11/2020,Austria,
Athlete 232,2/11/2020,Austria,
Athlete 333,2/10/2020,Austria,
Athlete 333,2/11/2020,Austria,
Athlete 106,2/11/2020,Austria,
Athlete 152,2/11/2020,Austria,
Athlete 13,2/11/2020,Austria,
Athlete 465,2/11/2020,Austria,
Athlete 61,2/10/2020,Austria,
Athlete 61,2/11/2020,Austria,
Athlete 227,2/11/2020,Austria,
Athlete 186,2/11/2020,Austria,
Athlete 1,2/11/2020,Austria,
Athlete 530,2/12/2020,Austria,
Athlete 27,2/12/2020,Austria,
Athlete 186,2/12/2020,Austria,
Athlete 26,2/12/2020,Austria,
Athlete 58,2/11/2020,Austria,
Athlete 259,2/11/2020,Austria,
Athlete 259,2/12/2020,Austria,
Athlete 58,2/12/2020,Austria,
Athlete 61,2/12/2020,Austria,
Athlete 403,2/12/2020,Austria,
Athlete 387,2/12/2020,Austria,
Athlete 454,2/12/2020,Austria,
Athlete 393,2/11/2020,Austria,
Athlete 393,2/12/2020,Austria,
Athlete 152,2/12/2020,Austria,
Athlete 239,2/12/2020,Austria,
Athlete 232,2/13/2020,Austria,
Athlete 465,2/12/2020,Austria,
Athlete 323,2/12/2020,Austria,
Athlete 11,2/12/2020,Austria,
Athlete 227,2/12/2020,Austria,
Athlete 227,2/13/2020,Austria,
Athlete 387,2/13/2020,Austria,
Athlete 403,2/13/2020,Austria,
Athlete 186,2/13/2020,Austria,
Athlete 11,2/13/2020,Austria,
Athlete 454,2/13/2020,Austria,
Athlete 239,2/13/2020,Austria,
Athlete 26,2/13/2020,Austria,
Athlete 13,2/12/2020,Austria,
Athlete 13,2/13/2020,Austria,
Athlete 43,2/12/2020,Austria,
Athlete 43,2/13/2020,Austria,
Athlete 197,2/11/2020,Austria,
Athlete 197,2/14/2020,Austria,
Athlete 197,2/12/2020,Austria,
Athlete 197,2/13/2020,Austria,
Athlete 366,2/12/2020,Austria,
Athlete 366,2/13/2020,Austria,
Athlete 1,2/12/2020,Austria,
Athlete 1,2/13/2020,Austria,
Athlete 323,2/13/2020,Austria,
Athlete 333,2/12/2020,Austria,
Athlete 333,2/13/2020,Austria,
Athlete 259,2/13/2020,Austria,
Athlete 27,2/13/2020,Austria,
Athlete 465,2/13/2020,Austria,
Athlete 152,2/13/2020,Austria,
Athlete 403,2/14/2020,Austria,
Athlete 26,2/14/2020,Austria,
Athlete 530,2/14/2020,Austria,
Athlete 58,2/13/2020,Austria,
Athlete 58,2/14/2020,Austria,
Athlete 454,2/14/2020,Austria,
Athlete 13,2/14/2020,Austria,
Athlete 232,2/14/2020,Austria,
Athlete 11,2/14/2020,Austria,
Athlete 186,2/15/2020,Austria,
Athlete 366,2/14/2020,Austria,
Athlete 1,2/14/2020,Austria,
Athlete 259,2/14/2020,Austria,
Athlete 465,2/14/2020,Austria,
Athlete 323,2/14/2020,Austria,
Athlete 26,2/15/2020,Austria,
Athlete 530,2/15/2020,Austria,
Athlete 403,2/15/2020,Austria,
Athlete 197,2/15/2020,Austria,
Athlete 366,2/15/2020,Austria,
Athlete 259,2/15/2020,Austria,
Athlete 58,2/15/2020,Austria,
Athlete 13,2/15/2020,Austria,
Athlete 328,2/18/2020,Austria,
Athlete 480,2/16/2020,Austria,
Athlete 403,2/20/2020,USA,East
Athlete 239,2/20/2020,USA,East
Athlete 239,2/21/2020,USA,East
Athlete 61,2/21/2020,USA,East
Athlete 227,2/20/2020,USA,East
Athlete 227,2/21/2020,USA,East
Athlete 232,2/21/2020,USA,East
Athlete 227,2/22/2020,USA,East
Athlete 239,2/22/2020,USA,East
Athlete 232,2/22/2020,USA,East
Athlete 13,2/21/2020,USA,East
Athlete 13,2/22/2020,USA,East
Athlete 239,2/23/2020,USA,East
Athlete 61,2/22/2020,USA,East
Athlete 227,2/23/2020,USA,East
Athlete 328,2/24/2020,USA,East
Athlete 393,2/27/2020,USA,East
Athlete 259,2/27/2020,USA,East
Athlete 328,2/27/2020,USA,East
Athlete 13,2/27/2020,USA,East
Athlete 201,2/27/2020,USA,East
Athlete 26,2/27/2020,USA,East
Athlete 18,2/27/2020,USA,East
Athlete 289,2/27/2020,USA,East
Athlete 43,2/27/2020,USA,East
Athlete 186,2/27/2020,USA,East
Athlete 249,2/27/2020,USA,East
Athlete 530,2/28/2020,USA,East
Athlete 201,2/28/2020,USA,East
Athlete 328,2/28/2020,USA,East
Athlete 18,2/29/2020,USA,East
Athlete 26,2/28/2020,USA,East
Athlete 249,2/28/2020,USA,East
Athlete 186,2/28/2020,USA,East
Athlete 393,2/28/2020,USA,East
Athlete 259,2/28/2020,USA,East
Athlete 13,2/28/2020,USA,East
Athlete 43,2/28/2020,USA,East
Athlete 201,2/29/2020,USA,East
Athlete 530,2/29/2020,USA,East
Athlete 186,2/29/2020,USA,East
Athlete 249,2/29/2020,USA,East
Athlete 20,2/29/2020,USA,East
Athlete 43,2/29/2020,USA,East
Athlete 13,2/29/2020,USA,East
Athlete 11,2/29/2020,USA,East
Athlete 323,2/28/2020,USA,East
Athlete 323,2/29/2020,USA,East
Athlete 289,2/28/2020,USA,East
Athlete 289,2/29/2020,USA,East
Athlete 20,3/1/2020,Canada,West
Athlete 197,2/28/2020,USA,East
Athlete 197,2/29/2020,USA,East
Athlete 197,3/1/2020,Canada,West
Athlete 530,3/1/2020,Canada,West
Athlete 18,3/1/2020,Canada,West
Athlete 11,3/1/2020,Canada,West
Athlete 13,3/1/2020,Canada,West
Athlete 26,2/29/2020,USA,East
Athlete 259,3/1/2020,Canada,West
Athlete 454,3/7/2020,Canada,West
Athlete 454,3/8/2020,Canada,West
Athlete 197,3/8/2020,Canada,West
Athlete 454,3/9/2020,Canada,West
Athlete 1,3/9/2020,Canada,West
Athlete 454,3/10/2020,Canada,West
Athlete 454,3/11/2020,Canada,West
Athlete 454,3/12/2020,Canada,West
Athlete 18,3/15/2020,Canada,West
Athlete 13,3/13/2020,Canada,West
Athlete 13,3/14/2020,Canada,West
Athlete 13,3/15/2020,Canada,West
Athlete 472,6/26/2020,USA,East
Athlete 472,7/18/2020,USA,East
Athlete 358,8/4/2020,USA,East
