Athlete,Team,Survey_Completed,Date_New,DayOfEntry,DayOfEntry_TEXT,Sleep_Hours,Nap_Hours,Sleep_Quality,Fatigue,Soreness,Stress,Readiness,Motivation,Wellness/Load
Athlete 465,Team 1,2/20/2019 9:41,NA,1,NA,6,0,39,26,44,23,55,33,Wellness
Athlete 18,Team 1,2/20/2019 10:03,NA,1,NA,8,0,92,0,37,100,82,88,Wellness
Athlete 323,Team 1,2/20/2019 10:30,NA,1,NA,6.5,1.2,84,25,8,100,70,90,Wellness
Athlete 240,Team 1,2/20/2019 10:55,NA,1,NA,7,0,53,14,14,71,54,51,Wellness
Athlete 325,Team 2,2/20/2019 11:50,NA,1,NA,8.3,0,56,0,25,53,45,76,Wellness
Athlete 259,Team 2,2/20/2019 13:45,NA,1,NA,8.4,0,95,0,19,100,94,100,Wellness
Athlete 465,Team 1,2/21/2019 7:01,NA,1,NA,5.8,0,55,19,31,43,38,43,Wellness
Athlete 506,Team 2,2/21/2019 7:05,NA,1,NA,8.4,0,62,0,27,100,63,61,Wellness
Athlete 240,Team 1,2/21/2019 7:06,NA,1,NA,8,1.5,67,14,18,75,60,60,Wellness
Athlete 323,Team 1,2/21/2019 7:15,NA,1,NA,6.4,0,100,3,2,100,84,92,Wellness
Athlete 106,Team 1,2/21/2019 7:26,NA,1,NA,9.5,0.8,69,13,23,97,15,78,Wellness
Athlete 333,Team 2,2/21/2019 7:52,NA,1,NA,8.5,0,89,0,0,100,51,100,Wellness
Athlete 201,Team 2,2/21/2019 9:20,NA,1,NA,7.5,0,75,15,25,64,56,85,Wellness
Athlete 387,Team 2,2/21/2019 10:38,NA,1,NA,9.6,0,100,0,0,100,0,93,Wellness
Athlete 289,Team 1,2/21/2019 11:12,NA,1,NA,11.1,1.7,31,63,0,100,0,19,Wellness
Athlete 480,Team 2,2/21/2019 11:25,NA,1,NA,8,0,52,74,66,38,81,52,Wellness
Athlete 13,Team 2,2/21/2019 12:57,NA,1,NA,8.8,0,86,0,0,100,48,58,Wellness
Athlete 236,Team 1,2/21/2019 13:59,NA,1,NA,7,0,91,9,17,100,100,96,Wellness
Athlete 61,Team 1,2/21/2019 16:55,NA,1,NA,7,0,83,7,2,91,89,84,Wellness
Athlete 333,Team 2,2/22/2019 7:05,NA,1,NA,8,0,88,0,0,100,25,92,Wellness
Athlete 506,Team 2,2/22/2019 7:18,NA,1,NA,7.5,0,58,0,19,100,65,70,Wellness
Athlete 465,Team 1,2/22/2019 7:26,NA,1,NA,6.1,0,35,35,4,38,51,41,Wellness
Athlete 61,Team 1,2/22/2019 7:29,NA,1,NA,7,0,71,12,28,82,77,82,Wellness
Athlete 201,Team 2,2/22/2019 7:30,NA,1,NA,9,0,90,14,11,77,0,85,Wellness
Athlete 323,Team 1,2/22/2019 7:34,NA,1,NA,7.5,0,94,4,4,100,85,92,Wellness
Athlete 18,Team 1,2/22/2019 8:52,NA,1,NA,6.9,0,83,0,45,100,54,86,Wellness
Athlete 387,Team 2,2/22/2019 9:20,NA,1,NA,7,0,98,0,0,100,98,91,Wellness
Athlete 186,Team 2,2/22/2019 9:32,NA,1,NA,7,0,64,36,33,66,41,51,Wellness
Athlete 106,Team 1,2/22/2019 9:35,NA,1,NA,8,0,58,14,8,98,18,84,Wellness
Athlete 289,Team 1,2/22/2019 11:04,NA,1,NA,10.1,2.2,73,65,39,49,36,42,Wellness
Athlete 13,Team 2,2/22/2019 14:16,NA,2,NA,8.7,0,67,0,7,97,49,82,Wellness
Athlete 236,Team 1,2/22/2019 21:30,NA,1,NA,7.4,0,100,15,0,100,100,86,Wellness
Athlete 333,Team 2,2/23/2019 7:03,NA,1,NA,8.5,0,82,0,16,100,0,85,Wellness
Athlete 106,Team 1,2/23/2019 7:08,NA,1,NA,9.4,0,72,2,2,98,57,80,Wellness
Athlete 201,Team 2,2/23/2019 7:28,NA,1,NA,9,0.5,91,45,12,78,82,100,Wellness
Athlete 506,Team 2,2/23/2019 7:31,NA,1,NA,8.4,0,56,0,25,100,55,64,Wellness
Athlete 325,Team 2,2/23/2019 7:42,NA,1,NA,8,0,80,2,34,89,57,66,Wellness
Athlete 465,Team 1,2/23/2019 7:55,NA,1,NA,9.2,0,70,16,4,69,34,58,Wellness
Athlete 480,Team 2,2/23/2019 8:31,NA,1,NA,7.1,0,42,84,61,12,10,19,Wellness
Athlete 289,Team 1,2/23/2019 8:49,NA,1,NA,8.8,2.8,87,42,0,44,63,78,Wellness
Athlete 387,Team 2,2/23/2019 9:19,NA,1,NA,6.1,0,79,0,0,100,60,88,Wellness
Athlete 403,Team 1,2/23/2019 10:15,NA,1,NA,6.5,0,34,47,15,79,88,83,Wellness
Athlete 240,Team 1,2/23/2019 10:35,NA,1,NA,9,0,60,18,3,82,42,50,Wellness
Athlete 186,Team 2,2/23/2019 10:50,NA,1,NA,8.1,0,38,31,24,73,35,37,Wellness
Athlete 61,Team 1,2/23/2019 17:18,NA,1,NA,7,0,72,19,17,90,43,78,Wellness
Athlete 106,Team 1,2/24/2019 7:02,NA,1,NA,5.2,0,76,2,3,96,23,73,Wellness
Athlete 506,Team 2,2/24/2019 7:11,NA,1,NA,7.9,0,59,0,0,60,72,38,Wellness
Athlete 333,Team 2,2/24/2019 7:34,NA,1,NA,7.5,0,77,0,0,100,0,83,Wellness
Athlete 325,Team 2,2/24/2019 7:53,NA,1,NA,8.1,0,74,0,24,67,48,76,Wellness
Athlete 236,Team 1,2/24/2019 8:58,NA,1,NA,7.6,0,100,11,21,100,100,100,Wellness
Athlete 61,Team 1,2/24/2019 9:44,NA,1,NA,7,0,84,5,19,81,61,58,Wellness
Athlete 465,Team 1,2/24/2019 9:59,NA,1,NA,8,0,60,8,6,65,69,68,Wellness
Athlete 387,Team 2,2/24/2019 10:41,NA,1,NA,7.1,0,64,0,0,80,0,66,Wellness
Athlete 201,Team 2,2/24/2019 13:27,NA,1,NA,7,0,50,57,14,73,85,58,Wellness
Athlete 186,Team 2,2/24/2019 14:22,NA,1,NA,7.9,0,46,22,10,52,26,45,Wellness
Athlete 403,Team 1,2/24/2019 18:54,NA,1,NA,9,0,46,13,16,94,94,73,Wellness
Athlete 13,Team 2,2/25/2019 7:11,NA,1,NA,8.6,0,88,0,0,100,66,79,Wellness
Athlete 13,Team 2,2/25/2019 7:12,NA,2,NA,8.8,0,83,0,0,100,39,76,Wellness
Athlete 106,Team 1,2/25/2019 7:33,NA,1,NA,7,2.5,75,16,9,95,61,65,Wellness
Athlete 240,Team 1,2/25/2019 8:35,NA,1,NA,7.9,3,63,15,2,28,43,22,Wellness
Athlete 506,Team 2,2/25/2019 8:51,NA,1,NA,8.8,0,55,0,31,100,72,56,Wellness
Athlete 465,Team 1,2/25/2019 9:04,NA,1,NA,7.3,0,28,14,11,63,63,64,Wellness
Athlete 387,Team 2,2/25/2019 9:17,NA,1,NA,8.1,2.2,82,0,0,100,0,87,Wellness
Athlete 201,Team 2,2/25/2019 9:26,NA,1,NA,6,0,44,14,51,58,78,98,Wellness
Athlete 323,Team 1,2/25/2019 10:16,NA,3,NA,8,0,97,0,2,100,88,100,Wellness
Athlete 323,Team 1,2/25/2019 10:21,NA,2,NA,8,0,95,0,82,84,28,54,Wellness
Athlete 323,Team 1,2/25/2019 10:22,NA,1,NA,7.5,0,97,0,54,100,81,94,Wellness
Athlete 25,Team 2,2/25/2019 10:37,NA,1,NA,6.5,0,57,33,3,100,13,55,Wellness
Athlete 480,Team 2,2/25/2019 17:47,NA,1,NA,7.3,0,59,63,49,23,37,44,Wellness
Athlete 61,Team 1,2/26/2019 6:10,NA,2,NA,8,0,77,12,14,86,66,71,Wellness
Athlete 506,Team 2,2/26/2019 6:33,NA,1,NA,6.9,0,51,15,24,100,66,65,Wellness
Athlete 465,Team 1,2/26/2019 7:02,NA,1,NA,6.5,0,57,21,4,63,66,38,Wellness
Athlete 325,Team 2,2/26/2019 7:04,NA,1,NA,6.5,0,81,25,0,85,56,73,Wellness
Athlete 259,Team 2,2/26/2019 7:11,NA,2,NA,8,0,100,1,0,100,100,100,Wellness
Athlete 259,Team 2,2/26/2019 7:12,NA,1,NA,8.3,0,100,1,49,100,100,100,Wellness
Athlete 58,Team 1,2/26/2019 7:16,NA,1,NA,9.1,0,16,51,35,91,53,39,Wellness
Athlete 240,Team 1,2/26/2019 7:18,NA,1,NA,7,0,53,22,0,53,43,30,Wellness
Athlete 106,Team 1,2/26/2019 7:30,NA,1,NA,9.7,0,65,27,12,87,47,82,Wellness
Athlete 1,Team 1,2/26/2019 8:38,NA,1,NA,5,1,8,74,58,52,50,44,Wellness
Athlete 61,Team 1,2/26/2019 8:39,NA,1,NA,8,0,64,16,14,82,53,96,Wellness
Athlete 13,Team 2,2/26/2019 8:57,NA,1,NA,8.5,0,95,0,42,98,65,86,Wellness
Athlete 201,Team 2,2/26/2019 9:03,NA,1,NA,9,1,82,36,14,88,71,92,Wellness
Athlete 18,Team 1,2/26/2019 9:05,NA,1,NA,7.1,0,89,0,0,100,86,95,Wellness
Athlete 387,Team 2,2/26/2019 10:02,NA,1,NA,9.5,0,86,0,0,100,0,95,Wellness
Athlete 186,Team 2,2/26/2019 10:21,NA,1,NA,7,0,27,37,4,58,66,47,Wellness
Athlete 323,Team 1,2/26/2019 13:28,NA,1,NA,6.8,0,94,2,9,100,93,100,Wellness
Athlete 236,Team 1,2/26/2019 15:04,NA,1,NA,7.7,0,100,0,23,100,100,100,Wellness
Athlete 289,Team 1,2/26/2019 21:05,NA,1,NA,9.2,3.3,64,34,67,49,31,54,Wellness
Athlete 506,Team 2,2/27/2019 4:01,NA,1,NA,6.1,0,44,0,15,100,66,58,Wellness
Athlete 25,Team 2,2/27/2019 6:04,NA,1,NA,7.6,0,66,27,0,71,11,65,Wellness
Athlete 387,Team 2,2/27/2019 7:21,NA,1,NA,8.1,0,62,0,0,100,0,90,Wellness
Athlete 106,Team 1,2/27/2019 7:25,NA,1,NA,7.1,0,85,0,0,100,23,60,Wellness
Athlete 1,Team 1,2/27/2019 7:41,NA,1,NA,6,0,57,40,8,68,64,64,Wellness
Athlete 11,Team 1,2/27/2019 7:50,NA,1,NA,7.5,0,53,20,34,51,12,48,Wellness
Athlete 240,Team 1,2/27/2019 7:57,NA,1,NA,7.5,0,68,29,28,71,50,58,Wellness
Athlete 61,Team 1,2/27/2019 8:57,NA,1,NA,8,0,52,12,23,92,100,72,Wellness
Athlete 238,Team 2,2/27/2019 9:08,NA,3,NA,8.2,0,83,0,0,79,97,94,Wellness
Athlete 238,Team 2,2/27/2019 9:09,NA,2,NA,8.3,0,83,16,36,100,92,99,Wellness
Athlete 238,Team 2,2/27/2019 9:10,NA,1,NA,8,0,58,9,33,100,97,98,Wellness
Athlete 201,Team 2,2/27/2019 9:10,NA,1,NA,9,0,69,0,18,93,100,59,Wellness
Athlete 480,Team 2,2/27/2019 9:20,NA,1,NA,8.4,0,47,80,71,34,26,49,Wellness
Athlete 366,Team 1,2/27/2019 9:29,NA,1,NA,8,0,45,45,60,90,61,50,Wellness
Athlete 5,Team 2,2/27/2019 9:38,NA,1,NA,8,0,92,40,0,34,12,17,Wellness
Athlete 259,Team 2,2/27/2019 11:26,NA,1,NA,5,0,51,38,22,100,100,75,Wellness
Athlete 13,Team 2,2/27/2019 12:21,NA,1,NA,8.6,0,98,0,14,97,78,85,Wellness
Athlete 323,Team 1,2/27/2019 18:43,NA,1,NA,4,0,93,76,0,100,63,91,Wellness
Athlete 240,Team 1,2/28/2019 7:17,NA,1,NA,7.8,0,57,13,55,63,44,21,Wellness
Athlete 506,Team 2,2/28/2019 7:24,NA,1,NA,9,0,59,29,32,26,61,65,Wellness
Athlete 387,Team 2,2/28/2019 7:31,NA,1,NA,12,0,67,0,0,82,0,79,Wellness
Athlete 480,Team 2,2/28/2019 7:34,NA,1,NA,7,0,57,54,71,52,51,53,Wellness
Athlete 25,Team 2,2/28/2019 7:37,NA,1,NA,8.4,0,66,20,0,79,0,71,Wellness
Athlete 201,Team 2,2/28/2019 8:56,NA,1,NA,8.5,0,75,10,20,66,100,84,Wellness
Athlete 186,Team 2,2/28/2019 9:49,NA,1,NA,6.1,0,49,11,3,97,75,67,Wellness
Athlete 13,Team 2,2/28/2019 9:59,NA,1,NA,8.8,0,93,0,22,97,96,90,Wellness
Athlete 5,Team 2,2/28/2019 10:05,NA,1,NA,7.5,0,77,10,0,50,37,64,Wellness
Athlete 259,Team 2,2/28/2019 10:08,NA,1,NA,8.5,2.1,100,0,12,100,100,100,Wellness
Athlete 546,Team 1,2/28/2019 18:06,NA,1,NA,6.6,0,100,0,0,100,100,90,Wellness
Athlete 366,Team 1,2/28/2019 20:57,NA,1,NA,8.6,0,56,36,66,95,50,70,Wellness
Athlete 323,Team 1,3/1/2019 0:00,NA,1,NA,8.1,0.3,92,0,90,100,88,73,Wellness
Athlete 323,Team 1,3/1/2019 0:04,NA,2,NA,8,0,98,0,80,100,89,93,Wellness
Athlete 403,Team 1,3/1/2019 7:07,NA,1,NA,7,0.3,80,21,23,82,66,50,Wellness
Athlete 240,Team 1,3/1/2019 7:10,NA,1,NA,8,0,40,13,83,83,33,55,Wellness
Athlete 201,Team 2,3/1/2019 8:45,NA,1,NA,8.6,0,89,61,40,100,52,47,Wellness
Athlete 506,Team 2,3/1/2019 8:49,NA,1,NA,8.2,0,42,45,1,100,56,26,Wellness
Athlete 25,Team 2,3/1/2019 13:43,NA,1,NA,8.6,0,66,0,0,83,31,71,Wellness
Athlete 546,Team 1,3/1/2019 16:40,NA,1,NA,7.8,0,97,0,0,100,100,99,Wellness
Athlete 289,Team 1,3/1/2019 16:40,NA,1,NA,6,1.2,24,64,49,52,14,25,Wellness
Athlete 439,Team 1,2/22/2019 18:30,NA,1,NA,6.9,0,0,0,15,100,0,47,Wellness
Athlete 387,Team 2,3/2/2019 7:04,NA,1,NA,6.5,0,86,0,0,100,0,97,Wellness
Athlete 11,Team 1,3/2/2019 8:08,NA,1,NA,7.5,0,86,8,42,92,1,87,Wellness
Athlete 506,Team 2,3/2/2019 8:50,NA,1,NA,8.5,0,58,0,0,100,57,53,Wellness
Athlete 240,Team 1,3/2/2019 9:20,NA,1,NA,8.5,0,64,14,51,86,37,54,Wellness
Athlete 546,Team 1,3/2/2019 9:24,NA,1,NA,5.9,0,99,0,0,100,100,100,Wellness
Athlete 61,Team 1,3/2/2019 9:31,NA,3,NA,8,0,71,12,17,83,64,85,Wellness
Athlete 61,Team 1,3/2/2019 9:34,NA,2,NA,8,0,69,35,15,83,78,73,Wellness
Athlete 61,Team 1,3/2/2019 9:35,NA,1,NA,9,0,87,37,37,98,3,44,Wellness
Athlete 18,Team 1,3/2/2019 9:41,NA,1,NA,7.8,0.8,82,18,16,100,54,89,Wellness
Athlete 186,Team 2,3/2/2019 10:12,NA,1,NA,7.5,0,36,17,0,67,91,69,Wellness
Athlete 25,Team 2,3/2/2019 10:45,NA,1,NA,7.5,0,67,10,0,91,31,67,Wellness
Athlete 366,Team 1,3/2/2019 10:57,NA,1,NA,9,0,54,11,30,92,60,46,Wellness
Athlete 259,Team 2,3/2/2019 11:15,NA,1,NA,9.3,0,100,0,0,100,100,100,Wellness
Athlete 201,Team 2,3/2/2019 12:30,NA,1,NA,9,0,78,36,37,28,0,53,Wellness
Athlete 323,Team 1,3/2/2019 12:54,NA,1,NA,9,0,96,0,47,100,89,100,Wellness
Athlete 403,Team 1,3/2/2019 19:06,NA,1,NA,4.8,0,10,82,43,71,26,29,Wellness
Athlete 506,Team 2,3/3/2019 6:39,NA,1,NA,6.1,2.3,54,0,0,100,50,87,Wellness
Athlete 289,Team 1,3/3/2019 7:35,NA,1,NA,7.3,0,80,0,31,100,66,87,Wellness
Athlete 465,Team 1,3/3/2019 7:39,NA,1,NA,9,0,63,0,0,81,77,67,Wellness
Athlete 387,Team 2,3/3/2019 7:49,NA,1,NA,7.8,0,85,0,0,100,0,93,Wellness
Athlete 11,Team 1,3/3/2019 8:05,NA,1,NA,8,0,65,20,27,87,0,75,Wellness
Athlete 61,Team 1,3/3/2019 9:20,NA,1,NA,8,0,65,14,11,100,11,53,Wellness
Athlete 240,Team 1,3/3/2019 9:28,NA,1,NA,9,0,56,6,34,42,33,58,Wellness
Athlete 201,Team 2,3/3/2019 9:31,NA,1,NA,8.6,0,51,53,30,100,0,63,Wellness
Athlete 323,Team 1,3/3/2019 9:50,NA,1,NA,6.5,0,100,13,39,100,65,79,Wellness
Athlete 546,Team 1,3/3/2019 10:10,NA,1,NA,6.9,0,99,0,0,100,98,100,Wellness
Athlete 366,Team 1,3/3/2019 11:15,NA,1,NA,8.8,0,63,0,32,100,77,82,Wellness
Athlete 387,Team 2,3/4/2019 7:49,NA,1,NA,8,1,98,0,0,100,0,100,Wellness
Athlete 201,Team 2,3/4/2019 7:59,NA,1,NA,6.6,0,84,40,51,80,88,94,Wellness
Athlete 289,Team 1,3/4/2019 8:10,NA,1,NA,7,1.2,80,0,0,100,79,90,Wellness
Athlete 506,Team 2,3/4/2019 8:11,NA,1,NA,8.2,0,34,0,0,76,60,41,Wellness
Athlete 25,Team 2,3/4/2019 8:47,NA,1,NA,8,0,67,0,0,87,26,77,Wellness
Athlete 403,Team 1,3/4/2019 8:56,NA,1,NA,7.8,0,68,26,24,91,66,69,Wellness
Athlete 186,Team 2,3/4/2019 9:15,NA,1,NA,5,0,33,79,13,44,38,37,Wellness
Athlete 546,Team 1,3/4/2019 10:13,NA,1,NA,7.7,0,100,0,0,100,100,97,Wellness
Athlete 323,Team 1,3/4/2019 22:23,NA,1,NA,8,0,88,18,37,100,76,96,Wellness
Athlete 506,Team 2,3/5/2019 7:06,NA,1,NA,9.4,0,49,0,0,100,61,57,Wellness
Athlete 403,Team 1,3/5/2019 7:17,NA,1,NA,8.1,0,84,6,15,95,89,100,Wellness
Athlete 201,Team 2,3/5/2019 7:25,NA,1,NA,7.5,0,38,14,27,79,73,71,Wellness
Athlete 18,Team 1,3/5/2019 7:31,NA,1,NA,8,0.3,83,45,12,100,0,80,Wellness
Athlete 11,Team 1,3/5/2019 7:58,NA,1,NA,9,0,100,0,23,90,32,71,Wellness
Athlete 387,Team 2,3/5/2019 8:06,NA,1,NA,8,0,5,60,0,27,0,14,Wellness
Athlete 439,Team 1,3/5/2019 9:10,NA,1,NA,6,0,50,64,6,37,51,41,Wellness
Athlete 240,Team 1,3/5/2019 9:10,NA,1,NA,7.8,0,51,24,15,75,45,62,Wellness
Athlete 289,Team 1,3/5/2019 9:47,NA,1,NA,7,1.6,78,23,22,100,73,74,Wellness
Athlete 546,Team 1,3/5/2019 10:25,NA,1,NA,7.2,0,99,0,0,100,99,100,Wellness
Athlete 186,Team 2,3/5/2019 14:31,NA,1,NA,6.6,0,49,8,12,30,58,19,Wellness
Athlete 506,Team 2,3/6/2019 4:03,NA,1,NA,6.8,0,45,28,0,100,41,33,Wellness
Athlete 323,Team 1,3/6/2019 6:56,NA,2,NA,6.5,0,96,12,37,100,90,97,Wellness
Athlete 323,Team 1,3/6/2019 6:59,NA,1,NA,7,0,99,3,14,100,95,97,Wellness
Athlete 465,Team 1,3/6/2019 7:01,NA,1,NA,8,0,64,0,0,85,54,50,Wellness
Athlete 25,Team 2,3/6/2019 7:05,NA,1,NA,7.7,0,67,3,0,86,14,70,Wellness
Athlete 403,Team 1,3/6/2019 8:21,NA,1,NA,6.7,0,77,32,5,90,74,57,Wellness
Athlete 387,Team 2,3/6/2019 8:28,NA,1,NA,8,0.9,89,16,0,100,0,78,Wellness
Athlete 18,Team 1,3/6/2019 9:28,NA,1,NA,7.1,0,55,10,10,100,0,68,Wellness
Athlete 201,Team 2,3/6/2019 10:02,NA,1,NA,9,0,70,59,45,48,67,58,Wellness
Athlete 186,Team 2,3/6/2019 10:11,NA,1,NA,6.9,0,37,23,10,64,39,49,Wellness
Athlete 546,Team 1,3/6/2019 12:58,NA,1,NA,5.7,0,94,0,0,100,95,92,Wellness
Athlete 58,Team 1,3/6/2019 18:03,NA,1,NA,8.9,0,66,10,54,100,14,99,Wellness
Athlete 240,Team 1,3/6/2019 18:52,NA,1,NA,7.8,0,47,48,20,91,43,54,Wellness
Athlete 506,Team 2,3/7/2019 6:25,NA,1,NA,8.1,0.2,68,0,0,90,53,73,Wellness
Athlete 201,Team 2,3/7/2019 7:13,NA,1,NA,7.7,0,51,14,59,90,73,82,Wellness
Athlete 465,Team 1,3/7/2019 7:23,NA,1,NA,8,0,39,0,9,76,44,50,Wellness
Athlete 439,Team 1,3/7/2019 7:35,NA,1,NA,6,0,55,25,13,60,92,57,Wellness
Athlete 259,Team 2,3/7/2019 7:40,NA,1,NA,8.5,0,100,0,27,100,100,100,Wellness
Athlete 18,Team 1,3/7/2019 7:44,NA,1,NA,7.1,0,87,0,50,100,74,72,Wellness
Athlete 240,Team 1,3/7/2019 7:59,NA,1,NA,7.2,1.2,29,25,28,85,45,58,Wellness
Athlete 387,Team 2,3/7/2019 8:56,NA,1,NA,9.4,1.4,96,0,0,100,77,100,Wellness
Athlete 323,Team 1,3/7/2019 9:07,NA,1,NA,7,0,96,0,12,100,84,98,Wellness
Athlete 546,Team 1,3/7/2019 11:01,NA,1,NA,7.4,0,88,0,0,100,98,97,Wellness
Athlete 58,Team 1,3/7/2019 11:59,NA,1,NA,9,0,87,4,32,100,55,87,Wellness
Athlete 289,Team 1,3/7/2019 13:00,NA,1,NA,8.1,0,56,0,0,100,63,57,Wellness
Athlete 366,Team 1,3/7/2019 18:41,NA,1,NA,8.1,0,48,47,69,89,74,60,Wellness
Athlete 13,Team 2,3/7/2019 22:26,NA,1,NA,7.1,0,76,45,49,100,54,73,Wellness
Athlete 506,Team 2,3/8/2019 7:03,NA,1,NA,8,0,56,0,0,100,58,62,Wellness
Athlete 323,Team 1,3/8/2019 7:05,NA,1,NA,6,0,100,13,18,100,84,96,Wellness
Athlete 18,Team 1,3/8/2019 7:16,NA,1,NA,6.1,0,73,12,0,100,50,79,Wellness
Athlete 240,Team 1,3/8/2019 7:19,NA,1,NA,8.2,0,74,11,32,85,61,68,Wellness
Athlete 58,Team 1,3/8/2019 8:26,NA,1,NA,7.5,0,50,25,65,89,54,18,Wellness
Athlete 403,Team 1,3/8/2019 8:55,NA,1,NA,6.3,0,21,58,25,84,67,76,Wellness
Athlete 201,Team 2,3/8/2019 9:06,NA,1,NA,9,0,78,15,28,37,42,70,Wellness
Athlete 387,Team 2,3/8/2019 9:38,NA,1,NA,7.5,0,97,0,0,100,64,95,Wellness
Athlete 186,Team 2,3/8/2019 10:01,NA,1,NA,7.5,0,67,21,4,55,57,51,Wellness
Athlete 366,Team 1,3/8/2019 15:12,NA,1,NA,8.1,0,61,34,77,100,66,59,Wellness
Athlete 546,Team 1,3/8/2019 15:51,NA,1,NA,6.8,0,99,0,0,100,93,98,Wellness
Athlete 506,Team 2,3/9/2019 7:14,NA,1,NA,6.1,0,32,34,0,44,59,47,Wellness
Athlete 546,Team 1,3/9/2019 7:39,NA,1,NA,6.8,0,100,0,0,100,92,98,Wellness
Athlete 25,Team 2,3/9/2019 7:50,NA,1,NA,8.6,0,80,0,0,100,16,88,Wellness
Athlete 387,Team 2,3/9/2019 8:44,NA,1,NA,8.5,0,91,11,0,100,0,98,Wellness
Athlete 240,Team 1,3/9/2019 9:22,NA,1,NA,4,0,44,52,34,97,35,57,Wellness
Athlete 366,Team 1,3/9/2019 9:42,NA,1,NA,8.2,0,55,40,51,71,45,50,Wellness
Athlete 201,Team 2,3/9/2019 12:34,NA,1,NA,7.9,0,67,35,32,10,18,39,Wellness
Athlete 480,Team 2,3/9/2019 14:00,NA,1,NA,7,0,50,58,48,49,34,43,Wellness
Athlete 403,Team 1,3/9/2019 15:14,NA,1,NA,8.3,0,71,40,15,100,83,73,Wellness
Athlete 323,Team 1,3/9/2019 23:31,NA,1,NA,9,0,100,5,4,100,83,100,Wellness
Athlete 25,Team 2,3/10/2019 4:56,NA,1,NA,8.5,0,84,0,27,100,20,82,Wellness
Athlete 465,Team 1,3/10/2019 7:03,NA,1,NA,6,0,19,35,0,70,51,30,Wellness
Athlete 18,Team 1,3/10/2019 8:02,NA,1,NA,7.3,0,81,12,22,100,52,76,Wellness
Athlete 506,Team 2,3/10/2019 8:32,NA,1,NA,8.1,1.7,36,0,0,76,64,49,Wellness
Athlete 403,Team 1,3/10/2019 9:44,NA,1,NA,5.3,0,0,69,6,56,38,49,Wellness
Athlete 325,Team 2,3/10/2019 10:15,NA,1,NA,8.5,0,83,0,0,70,55,78,Wellness
Athlete 387,Team 2,3/10/2019 11:55,NA,1,NA,9.8,0,100,0,39,100,0,97,Wellness
Athlete 186,Team 2,3/10/2019 13:36,NA,1,NA,7.1,0,36,36,0,74,46,60,Wellness
Athlete 201,Team 2,3/10/2019 18:02,NA,1,NA,6.1,0,51,37,12,4,0,54,Wellness
Athlete 546,Team 1,3/10/2019 18:14,NA,1,NA,7.2,0,100,0,0,100,99,98,Wellness
Athlete 13,Team 2,3/10/2019 18:23,NA,1,NA,7.2,0,95,35,27,90,58,79,Wellness
Athlete 201,Team 2,3/11/2019 7:02,NA,1,NA,9,0,96,51,33,86,86,92,Wellness
Athlete 506,Team 2,3/11/2019 7:29,NA,1,NA,9,0,54,0,0,85,61,61,Wellness
Athlete 13,Team 2,3/11/2019 7:38,NA,1,NA,5.1,0,77,41,0,100,83,83,Wellness
Athlete 18,Team 1,3/11/2019 7:53,NA,1,NA,7.3,0,70,9,8,100,69,79,Wellness
Athlete 387,Team 2,3/11/2019 9:35,NA,1,NA,4.6,0,43,15,24,100,68,96,Wellness
Athlete 240,Team 1,3/11/2019 10:03,NA,1,NA,5.5,0,65,18,6,86,33,62,Wellness
Athlete 238,Team 2,3/11/2019 14:54,NA,1,NA,7.3,0,57,15,0,100,99,99,Wellness
Athlete 323,Team 1,3/11/2019 17:07,NA,1,NA,7.6,0,98,1,5,100,93,100,Wellness
Athlete 403,Team 1,3/11/2019 17:18,NA,1,NA,8.1,0,96,12,0,100,84,91,Wellness
Athlete 289,Team 1,3/11/2019 21:33,NA,1,NA,7.1,0,28,42,0,100,43,36,Wellness
Athlete 506,Team 2,3/12/2019 7:01,NA,1,NA,8,0,28,25,8,59,59,49,Wellness
Athlete 201,Team 2,3/12/2019 7:05,NA,1,NA,7.4,0.5,17,71,54,49,48,50,Wellness
Athlete 18,Team 1,3/12/2019 7:32,NA,1,NA,6.9,0,89,0,26,100,60,90,Wellness
Athlete 289,Team 1,3/12/2019 7:55,NA,1,NA,9,0,66,0,53,50,45,48,Wellness
Athlete 11,Team 1,3/12/2019 8:07,NA,1,NA,7.5,0,85,17,0,93,43,56,Wellness
Athlete 236,Team 1,3/12/2019 8:09,NA,1,NA,6.9,0,87,7,27,100,100,100,Wellness
Athlete 240,Team 1,3/12/2019 8:25,NA,1,NA,7.5,0.5,47,20,23,90,43,51,Wellness
Athlete 238,Team 2,3/12/2019 9:02,NA,1,NA,6.9,0,47,51,45,100,94,98,Wellness
Athlete 387,Team 2,3/12/2019 10:44,NA,1,NA,9,2,100,0,0,100,0,98,Wellness
Athlete 366,Team 1,3/12/2019 11:33,NA,2,NA,7.9,0,24,68,47,79,48,64,Wellness
Athlete 366,Team 1,3/12/2019 11:37,NA,1,NA,7.8,0,27,59,58,94,56,70,Wellness
Athlete 323,Team 1,3/12/2019 11:40,NA,1,NA,6.5,0,91,11,4,100,89,97,Wellness
Athlete 506,Team 2,3/13/2019 4:10,NA,1,NA,4.8,0,43,34,8,100,30,35,Wellness
Athlete 480,Team 2,3/13/2019 7:04,NA,1,NA,7.4,0,56,36,22,61,54,78,Wellness
Athlete 13,Team 2,3/13/2019 7:10,NA,1,NA,7.4,1.3,59,0,0,100,53,82,Wellness
